lat,lng,iso2,population
35.6839,139.7744,JP,39105000
-6.2146,106.8451,ID,35362000
28.6667,77.2167,IN,31870000
14.6,120.9833,PH,23971000
-23.5504,-46.6339,BR,22495000
37.56,126.99,KR,22394000
19.0758,72.8775,IN,22186000
31.1667,121.4667,CN,22118000
19.4333,-99.1333,MX,21505000
23.1288,113.259,CN,21489000
30.0444,31.2358,EG,19787000
39.904,116.4075,CN,19437000
40.6943,-73.9249,US,18713220
22.5727,88.3639,IN,18698000
55.7558,37.6178,RU,17693000
13.75,100.5167,TH,17573000
23.7289,90.3944,BD,16839000
-34.5997,-58.3819,AR,16216000
34.752,135.4582,JP,15490000
6.45,3.4,NG,15487000
41.01,28.9603,TR,15311000
24.86,67.01,PK,15292000
-4.3317,15.3139,CD,15056000
22.535,114.054,CN,14678000
12.9791,77.5913,IN,13999000
10.8167,106.6333,VN,13954000
35.7,51.4167,IR,13819000
34.1139,-118.4068,US,12750807
-22.9083,-43.1964,BR,12486000
30.66,104.0633,CN,11920000
38.8671,115.4845,CN,11860000
13.0825,80.275,IN,11564000
31.5497,74.3436,PK,11148000
51.5072,-0.1275,GB,11120000
48.8566,2.3522,FR,11027000
39.1467,117.2056,CN,10932000
35.0606,118.3425,CN,10820000
38.0422,114.5086,CN,10784600
34.7492,113.6605,CN,10136000
32.9987,112.5292,CN,10013600
17.3617,78.4747,IN,9840000
30.5872,114.2881,CN,9729000
36.6116,114.4894,CN,9549700
35.1167,136.9333,JP,9522000
36.7167,119.1,CN,9373000
-12.06,-77.0375,PE,8992000
33.625,114.6418,CN,8953172
-8.8383,13.2344,AO,8883000
25.8292,114.9336,CN,8677600
34.261,117.1859,CN,8669000
3.1478,101.6953,MY,8639000
41.8373,-87.6862,US,8604203
35.2333,115.4333,CN,8287693
29.55,106.5069,CN,8261000
21.0245,105.8412,VN,8246600
32.8986,115.8045,CN,8200264
28.1987,112.9709,CN,8154700
23.0475,113.7493,CN,8142000
35.4,116.5667,CN,8081905
36.6667,116.9833,CN,7967400
18.5196,73.8553,IN,7948000
23.0292,113.1056,CN,7905700
4.6126,-74.0705,CO,7743955
23.03,72.58,IN,7717000
32.05,118.7667,CN,7729000
43.9,125.2,CN,7674439
39.6292,118.1742,CN,7577289
38.3037,116.8452,CN,7544300
-6.8,39.2833,TZ,7461000
31.8639,117.2808,CN,7457027
22.3069,114.1831,HK,7398000
27.2418,111.4725,CN,7370500
21.1967,110.4031,CN,7332000
34.4259,115.6467,CN,7325300
31.9829,120.8873,CN,7283622
33.3936,120.1339,CN,7260240
22.8192,108.315,CN,7254100
26.8968,112.5857,CN,7243400
32.9773,114.0253,CN,7231234
41.8039,123.4258,CN,7208000
37.0659,114.4753,CN,7104103
34.2667,108.9,CN,7090000
-33.45,-70.6667,CL,7026000
37.3997,121.2664,CN,6968202
24.65,46.71,SA,6889000
34.6587,112.4245,CN,6888500
25.0433,102.7061,CN,6850000
28.4419,117.9633,CN,6810700
30.25,120.1675,CN,6713000
27.3019,105.2863,CN,6686100
24.9139,118.5858,CN,6480000
25.7839,-80.2102,US,6445545
31.5667,120.2833,CN,6372624
30.45,114.875,CN,6333000
21.6618,110.9178,CN,6313200
30.7991,106.0784,CN,6278614
27.705,106.9336,CN,6270700
